								
"AONE"	1.82	"3/2/2012"	"4:00pm"	-0.08	1.79	1.82	1.71	4821258
"AOSL"	9.63	"3/2/2012"	"4:00pm"	-0.3	9.94	9.94	9.53	49767
"APAGF"	68.42	"3/2/2012"	"4:00pm"	-5.34	"N/A"	73.75	66.51	43870
"APEI"	38.26	"3/2/2012"	"4:00pm"	-0.63	38.8	38.99	37.95	159233
"APFC"	7.608	"3/2/2012"	"3:59pm"	-0.172	7.68	7.78	7.608	4038
"APKT"	30.26	"3/2/2012"	"4:00pm"	-0.45	30.8	31.38	30.03	1617110
"APOG"	12.6	"3/2/2012"	"4:00pm"	-0.48	13.09	13.16	12.43	143870
"APOL"	41.86	"3/2/2012"	"4:00pm"	-0.49	42.27	42.54	41.78	2393704
"APPY"	0.7707	"3/2/2012"	"3:59pm"	-0.0788	0.84	0.84	0.765	13100
"APRI"	3.38	"3/2/2012"	"4:00pm"	-0.02	3.43	3.49	3.31	188322
"APWC"	3.45	"3/2/2012"	"3:26pm"	0.02	3.45	3.45	3.2	2400
"ARAY"	6.49	"3/2/2012"	"4:00pm"	-0.28	6.69	6.75	6.43	521540
"ARBA"	32.1	"3/2/2012"	"3:59pm"	0.23	31.59	32.37	31.56	1020448
"ARCI"	5.079	"3/2/2012"	"3:59pm"	0.06	5.03	5.079	4.95	47458
"ARCL"	9.04	"3/2/2012"	"4:00pm"	0.03	9.05	9.12	8.96	38457
"ARCP"	11.6	"3/2/2012"	"3:57pm"	0.45	11.45	11.6	11.151	24135
"ARCW"	3.39	"3/1/2012"	"3:34pm"	0	"N/A"	"N/A"	"N/A"	0
"ARDNA"	86.88	"3/2/2012"	"4:00pm"	-1.47	88.41	89.4	86.88	3573
"AREX"	34.07	"3/2/2012"	"4:00pm"	-0.99	34.88	35.53	34.02	380168
"ARGN"	14.6	"3/2/2012"	"4:00pm"	-0.4	15.04	15.26	14.5	174281
"ARIA"	14.68	"3/2/2012"	"4:00pm"	-0.11	14.73	15.02	14.5	1735371
"ARII"	27.99	"3/2/2012"	"4:00pm"	-1.22	29.3	29.4799	27.86	133073
"ARKR"	16.09	"3/1/2012"	"3:59pm"	0	"N/A"	"N/A"	"N/A"	0
"ARMH"	26.15	"3/2/2012"	"4:00pm"	-0.81	26.51	26.75	26.02	4353899
"ARNA"	1.79	"3/2/2012"	"4:00pm"	-0.01	1.85	1.86	1.78	4471728
"AROW"	23.6	"3/2/2012"	"4:00pm"	-0.19	23.91	24.16	23.26	57078
"ARQL"	6.98	"3/2/2012"	"4:00pm"	-0.07	7.14	7.2	6.87	691125
								
"AAC"	9.78	"2/28/2012"	"11:08am"	0	"N/A"	"N/A"	"N/A"	0
"ARRS"	11.07	"3/2/2012"	"4:00pm"	-0.27	11.35	11.4	10.99	538067
"ARRY"	2.86	"3/2/2012"	"4:00pm"	0.01	2.85	2.88	2.8	595278
"ARSD"	8	"3/2/2012"	"4:00pm"	-0.36	8.37	8.38	7.96	29747
"ARTC"	25.94	"3/2/2012"	"4:00pm"	0.12	26.47	26.68	25.45	601983
"ARTNA"	18.95	"3/2/2012"	"4:00pm"	-0.1	19.16	19.25	18.81	16943
"ARTW"	7.61	"3/2/2012"	"3:58pm"	-0.29	7.81	7.84	7.562	3452
"ARTX"	1.29	"3/2/2012"	"3:25pm"	0.0299	1.28	1.29	1.268	3735
"ARWR"	5.386	"3/2/2012"	"3:31pm"	0.036	5.4	5.41	5.35	11190
"ASBB"	12.08	"3/2/2012"	"3:59pm"	0.08	12	12.23	12	9100
"ASBC"	13.21	"3/2/2012"	"4:00pm"	-0.19	13.34	13.43	13.04	1685801
"ASCA"	19.54	"3/2/2012"	"4:00pm"	-0.27	19.84	20.04	19.49	161957
"ASEI"	70.23	"3/2/2012"	"4:00pm"	-1.91	72	72.31	69.53	55774
"ASGN"	13.83	"3/2/2012"	"4:00pm"	-0.53	14.32	14.32	13.63	278916
"ASIA"	12.89	"3/2/2012"	"4:00pm"	-0.06	12.87	12.95	12.82	215764
"ASPS"	63.42	"3/2/2012"	"4:00pm"	-0.18	63.51	63.75	62.89	170000
"ASRV"	2.6899	"3/2/2012"	"3:41pm"	-0.0101	2.66	"N/A"	2.65	13932
"ASTC"	0.72	"3/2/2012"	"3:37pm"	0.015	0.705	0.735	0.705	9100
"ASTE"	37.26	"3/2/2012"	"4:00pm"	-0.83	38.09	38.09	36.76	118018
"ASTI"	0.83	"3/2/2012"	"3:59pm"	0.065	0.8	0.83	0.77	131534
"ASTM"	1.85	"3/2/2012"	"3:59pm"	0.03	1.83	1.88	1.82	195131
"ASTX"	1.82	"3/2/2012"	"4:00pm"	-0.01	1.89	1.9	1.8	663473
"ASUR"	7.55	"3/2/2012"	"3:57pm"	0.05	7.51	7.64	7.29	9941
"ASYS"	8.9	"3/2/2012"	"4:00pm"	0.05	8.84	8.97	8.57	216921
"ATAI"	6.02	"3/2/2012"	"3:56pm"	0.11	5.91	6.02	5.87	10394
