"URL","name","other name","other name","other name","other name"
"http://arxiv.org/find/stat/1/au:+Ottucsak_G/0/1/0/all/0/1","György Ottucsák",
"http://arxiv.org/find/math/1/au:+Segers_J/0/1/0/all/0/1","Johan Segers",
"http://arxiv.org/find/math,stat/1/au:+Lavancier_F/0/1/0/all/0/1","Frédéric Lavancier",
"http://arxiv.org/find/math,stat/1/au:+Philippe_A/0/1/0/all/0/1","Anne Philippe",
"http://arxiv.org/find/math,stat/1/au:+Candes_E/0/1/0/all/0/1","Emmanuel J. Candès","Emmanuel J. Candes","Emmanuel Candes","Emmanuel Candès"
"http://arxiv.org/find/math,stat/1/au:+Plan_Y/0/1/0/all/0/1","Yaniv Plan",
"http://arxiv.org/find/math/1/au:+Pitman_J/0/1/0/all/0/1","Jim Pitman",
"http://arxiv.org/find/math/1/au:+Winkel_M/0/1/0/all/0/1","Matthias Winkel",
"http://arxiv.org/find/math,stat/1/au:+Aoki_S/0/1/0/all/0/1","Satoshi Aoki",
"http://arxiv.org/find/math/1/au:+Fill_J/0/1/0/all/0/1","James Allen Fill",
"http://arxiv.org/find/math/1/au:+Huber_M/0/1/0/all/0/1","Mark Huber","Mark L. Huber"
"http://arxiv.org/find/math/1/au:+Finch_S/0/1/0/all/0/1","Steven R. Finch",
"http://arxiv.org/find/math,stat/1/au:+Hibi_T/0/1/0/all/0/1","Takayuki Hibi",
"http://arxiv.org/find/math,stat/1/au:+Ohsugi_H/0/1/0/all/0/1","Hidefumi Ohsugi",
"http://arxiv.org/find/math,stat/1/au:+Takemura_A/0/1/0/all/0/1","Akimichi Takemura",
"http://arxiv.org/find/math,stat/1/au:+Wasserman_L/0/1/0/all/0/1","Larry Wasserman",
"http://arxiv.org/find/math,stat/1/au:+Roeder_K/0/1/0/all/0/1","Kathryn Roeder",
"http://arxiv.org/find/stat/1/au:+Bochkina_N/0/1/0/all/0/1","Natalia Bochkina",
"http://arxiv.org/find/stat/1/au:+Ritov_Y/0/1/0/all/0/1","Ya'acov Ritov","Ya'Acov Ritov","Y. Ritov"
"http://arxiv.org/find/math/1/au:+Galatolo_S/0/1/0/all/0/1","Stefano Galatolo",
"http://arxiv.org/find/math/1/au:+Hoyrup_M/0/1/0/all/0/1","Mathieu Hoyrup",
"http://arxiv.org/find/math/1/au:+Rojas_C/0/1/0/all/0/1","Cristobal Rojas",
"http://arxiv.org/find/math,stat/1/au:+Liu_J/0/1/0/all/0/1","Jie Liu","Jiawei Liu","Juxin Liu","Jingchen Liu","Jinnan Liu","Jun S. Liu"
"http://arxiv.org/find/math,stat/1/au:+Xin_J/0/1/0/all/0/1","Jack Xin",
"http://arxiv.org/find/math,stat/1/au:+Qi_Y/0/1/0/all/0/1","Yingyong Qi",
"http://arxiv.org/find/stat/1/au:+Liu_H/0/1/0/all/0/1","Han Liu",
"http://arxiv.org/find/stat/1/au:+Xu_M/0/1/0/all/0/1","Min Xu","Meizhi Xu"
"http://arxiv.org/find/stat/1/au:+Gu_H/0/1/0/all/0/1","Haijie Gu",
"http://arxiv.org/find/stat/1/au:+Jensen_S/0/1/0/all/0/1","Shane T. Jensen",
"http://arxiv.org/find/stat/1/au:+Dicker_L/0/1/0/all/0/1","Lee Dicker",
"http://arxiv.org/find/stat/1/au:+Heller_K/0/1/0/all/0/1","Katherine A. Heller","Katherine Heller"
"http://arxiv.org/find/math,stat/1/au:+Lao_W/0/1/0/all/0/1","Wei Lao",
"http://arxiv.org/find/math,stat/1/au:+Mayer_M/0/1/0/all/0/1","Michael Mayer",
"http://arxiv.org/find/stat/1/au:+Gupta_A/0/1/0/all/0/1","Anupam Gupta",
"http://arxiv.org/find/stat/1/au:+Lafferty_J/0/1/0/all/0/1","John Lafferty","John D. Lafferty"
"http://arxiv.org/find/stat/1/au:+Wasserman_L/0/1/0/all/0/1","Larry Wasserman",
"http://arxiv.org/find/math,stat/1/au:+Cai_T/0/1/0/all/0/1","T. Tony Cai","Tony Cai"
"http://arxiv.org/find/math,stat/1/au:+Jin_J/0/1/0/all/0/1","Jiashun Jin",
"http://arxiv.org/find/stat/1/au:+Yekutieli_D/0/1/0/all/0/1","Daniel Yekutieli",
