item;price;unit price
Poivre noir moulu  100ml;2.25;22.50 /L
Pommes de terre  Bauernfrühstück, 2 portions  400g;1.54;3.85 /KG
Pommes de terre  Bratkartoffeln  400g;1.54;3.85 /KG
Potage déshydraté   Frühlingssuppe  Suppenliebe  4 assiettes;0.89;10.60 /KG
Potage déshydraté   Rindfleisch und Nudeln  Suppenliebe  4 assiettes;0.79;7.31 /KG
Potage déshydraté  Champignon Creme Suppe  Feinschmecker  2 assiettes;1.2;24.00 /KG
Potage déshydraté  Deftiger Erbsentopf mit Speck  2 assiettes;1.22;11.51 /KG
Potage déshydraté  Deftiger Linsentopf mit Speck  2 assiettes;1.1;8.09 /KG
Potage déshydraté  Hühnersuppe mit Nudeln  Suppenliebe  4 assiettes;0.79;9.63 /KG
Potage déshydraté  Rindfleischsuppe  4 assiettes;0.93;10.94 /KG
Potage déshydraté  Spargelcreme Suppe  Feinschmecker  2 assiettes;1.2;21.05 /KG
Potage déshydraté  Tomatensuppe mit Reis  Feinschmecker  3 assiettes;1.2;16.44 /KG
Potage déshydraté  Waldpilzsuppe  Feinschmecker  2 assiettes;1.2;19.67 /KG
Potage liquide  Hühner Nudeltopf  800g;2.54;3.18 /KG
Potage liquide  Linsen Eintopf mit Würstchen  800g;2.54;3.18 /KG
Potage liquide bisque de homard  515ml;2.8;5.44 /L
Potage liquide crème de tomates  515ml;2.19;4.25 /L
Potage liquide mouliné légumes variés  0.5l;1.72;3.44 /L
Potage liquide mouliné légumes verts  0.5l;2.05;4.10 /L
Potage liquide velouté 8 légumes  0.5l;2.54;5.08 /L
Potage liquide velouté 9 légumes  0.5l;1.6;3.20 /L
Potage liquide velouté 9 légumes  1l;2.64;2.64 /KG
Potage liquide velouté potiron  0.5l;2.54;5.08 /L
Poudre de cacao  125g;1.5;12.00 /KG
Purée pommes de terre mousliné  500g;2.5;5.00 /KG
Raide de Crème  Sahnesteif  5 sachets;1.62;202.50 /KG
Raviolis sauce tomates  400g;1.05;2.63 /KG
Raviolis sauce tomates  800g;1.72;2.15 /KG
Riz  Arborio Risotto  500g;1.49;2.98 /KG
Riz 10minutes sachets cuisson  8x125g;3.13;3.13 /KG
Riz Basmati  1kg;2.6;2.60 /KG
Riz Basmati loose  1kg;4.24;4.24 /KG
Riz basmati transfair  500g;2.45;4.90 /KG
Riz express Basmati 2 minutes  250g;1.59;6.36 /KG
Riz express Cantonais  250g;1.68;6.72 /KG
Riz express long grain 2 minutes  250g;1.57;6.28 /KG
Riz express méditerrané 2 minutes  250g;1.68;6.72 /KG
Riz express tomates huile d'olive  250g;1.68;6.72 /KG
Riz long grain étuvé loose  1kg;2.18;2.18 /KG
Riz long grain sachets cuisson  5x200g;2.18;2.18 /KG
Riz Loose 10minutes  1kg;2.93;2.93 /KG
Riz Risotto  1kg;2.98;2.98 /KG
Riz Thai  1kg;2.45;2.45 /KG
Rösti de pommes de terre  400g;1.54;3.85 /KG
Salade Andalouse bocal  245g;0.99;4.04 /KG
Salade de thon nicoise en conserve  268g;2.03;7.57 /KG
Salade dressing aux fines herbes  450ml;2.88;6.40 /L
Salade Hawaïenne bocal  240g;1.23;5.13 /KG
Salsifis  205g;1.4;6.83 /KG
Salsifis  400g;1.86;4.65 /KG
Sardine à huile d'olive sans peau et sans arètes conserve   105g;1.6;15.24 /KG
Sardines à l'huile d'olive conserve   120g;1.18;9.83 /KG
Sardines à l'huile d'olive conserve   90g;1.13;12.56 /KG
Sauce aux 4 fromages  200g;2.76;13.80 /KG
Sauce aux champignons  200g;2.58;12.90 /KG
Sauce Bolognese  400g;2.49;6.23 /KG
Sauce chaude aigre douce aux légumes  400g;2.76;6.90 /KG
Sauce chaude Bechamel  Les sauces  250ml;1.25;5.00 /L
Sauce chaude cantonaise  400g;2.72;6.80 /KG
Sauce chaude Curry  400g;2.13;5.33 /KG
Sauce chaude Hollandaise  Les sauces  250ml;1.19;4.76 /L
Sauce chaude Hollandaise légère  Les sauces  250ml;1.25;5.00 /L
Sauce chaude mild Curry  500g;2.55;5.10 /KG
Sauce chaude piquante aux légumes  400g;2.88;7.20 /KG
Sauce déshydratée chasseur  26ml;1.06;40.77 /L
Sauce déshydratée chaude crème champignons;1.02;27.57 /KG
Sauce déshydratée chaude Hollandaise;1.09;41.92 /KG
Sauce froide  Knoblauch  250ml;1.35;5.40 /KG
Sauce froide Andalouse  500ml;2.64;5.28 /KG
Sauce froide Cocktail  250g;1.99;7.96 /KG
Sauce froide liquide Worcester  200ml;1.5;7.50 /KG
Sauce froide Pesto Rosso   190g;2.5;13.16 /KG
Sauce froide Sambal oelek pâté de piments  100g;1.98;19.80 /KG
Sauce froide Soja en verre  125g;1.7;13.60 /KG
Sauce froide Tabasco  57ml;2.46;43.16 /L
Sauce froide Tartare  250g;1.99;7.96 /KG
Sauce Pesto  140g;2.58;18.43 /KG
Sauce Pesto alla Genovese con Basilico Fresco   190g;2.5;13.16 /KG
Sauce Tomate Arrabiata   400g;2.1;5.25 /KG
Sauce Tomate Basilico  400g;1.69;4.23 /KG
Sauce tomate et fromage ricotta avec huile dâ€™olive vierge ex   400g;2.49;6.23 /KG
Sauce Tomate Napoletana  400g;2.1;5.25 /KG
Sauce tomates Pizza  400g;1.88;4.70 /KG
Sauce tomates préparée Bolognèse   600g;3.66;6.10 /KG
Saucisses 6-Saft  180g;1.7;9.44 /KG
Saucisses enrobés de pain  50g;1.07;21.40 /KG
Saucisses Mini-Wini  190g;2.8;14.74 /KG
Sel fin de mer en boite  500g;0.59;1.18 /KG
Sel fin fleur de sel de camargue  125g;2.76;22.08 /KG
Sel fin Iode en boite  500g;0.96;1.92 /KG
Semoule Couscous moyen   1kg;2.78;2.78 /KG
Spaghettini No.3   500g;0.99;1.98 /KG
Spaghettoni No.7   500g;0.99;1.98 /KG
Sucre Bourbon   5 sachets;1.38;34.50 /KG
Sucre Cristallisé  1 kg;1.22;1.22 /KG
Sucre de canne grains transfair  1 kg;2.34;2.34 /KG
Sucre gelifié pour confiture  500g;1.35;2.70 /KG
Thon à huile d'olive en conserve  160g;2.05;12.81 /KG
Thon à huile d'olive en conserve  200g;3.2;16.00 /KG
Thon au naturel en conserve  160g;1.96;12.25 /KG
Thon au naturel en conserve  200g;2.88;14.40 /KG
Tomates concassées   400g;1.1;2.75 /KG
Tomates concentrées en tube  130g;0.91;7.00 /KG
Tomates passées en verre   700g;1.66;2.37 /KG
Tomates passées Pomi  200g;0.58;2.90 /KG
Tomates pelées  260g;0.9;3.46 /KG
Tomates pelées  520g;1.65;3.17 /KG
Tomato Ketchup   en bouteille  300ml;1.49;4.97 /L
Tomato Ketchup bouteiléle Top down  500ml;2.15;4.30 /L
Tortiglioni No.83   500g;0.99;1.98 /KG
Vinaigre au miel  1l;1.18;11.80 /L
Vinaigre balsamique âgé  bouteille "Dali"   0.25l;9.95;39.80 /L
Vinaigre balsamique blanc  500ml;2.76;5.52 /L
Vinaigre balsamique Red Label  0.5l;3.28;6.56 /L
Vinaigre de pommes  0.75l;1.57;2.09 /L
Vinaigre de vin et d'alcool  0.75l;1.19;1.59 /L
Aguaribay Malbec Baron E.Rothschild 2009  Vin rouge d'Argentine  0.75l;6.95;9.27 /L
Alpataco Patagonie 2010  Chardonnay d'Argentine  0.75l;6.65;8.87 /L
Amaretto Disaronno 28°  0.70 l;10.95;15.64 /L
Antinori Santa Cristina 2010  Vin rouge d'Italie  0.75l;8.95;11.93 /L
Apfelschorle  Pet  1.50l;1.9;1.27 /L
Apfelschorle  Pet  6x0.50l;5.1;1.70 /L
Apfelschorle  Pet  6x1.50l;11.4;1.27 /L
Armagnac Delord 40% 0.70l;12.5;17.86 /L
Asti Riccadonna  Dolce docg  mousseux  0.75l;7.5;10.00 /L
Auxerrois Grevenmacher   Grand 1er cru 2009  Vin luxembourgeois  0.75l;5.9;7.87 /L
Auxerrois St.Markus MN 2009  Vin luxembourgeois  12x1l;38.76;3.23 /L
Auxerrois St.Markus MN 2009  Vin luxembourgeois  1l;3.4;3.40 /L
Averna Amaro Siciliano 29%  0.70l;11.25;16.07 /L
Babich Sauvignon 2009  Vin Nouvelle - Zélande blanc  0.75l;9.25;12.33 /L
Bacardi Mojito classic cocktail 14.9%  0.70l;10.95;15.64 /L
Bacardi Pina Colada classic 14.9%  0.70l;10.95;15.64 /L
Bailey's Irish cream 17% 0.70l;13.25;18.93 /L
Bardolino/Fiori 2011  Vin italien  0.75l;5.98;7.97 /L
Barone Ricasoli Chianti Del Barone 2010  Vin rouge d'Italie  0.75l;10.7;14.27 /L
Batida de Coco 16%  0.70l;8.95;12.79 /L
Bernard-Massard  Cuvée de l'écusson  brut  0.75 l;7.95;10.60 /L
Bernard-Massard  écusson rosé  brut  0.75 l;8.1;10.80 /L
Bernard-Massard Cuvée brut  mousseux  0.75 l;7.15;9.53 /L
Bernard-Massard Cuvée demi-sec  mousseux  0.75 l;7.15;9.53 /L
Bière  Boîte  3x8x0.50l;18.63;1.55 /L
Bière  Boîte  4x0.50l;3.39;1.70 /L
Bière  Boîte  6x0.33l;5.4;2.73 /L
Bière  Boîte  6x0.50l;7.35;2.45 /L
Bière  Boîte  8x0.50l;8.29;2.07 /L
Bière  Verre perdu  6x0.25l;3.8;2.53 /L
Bière  Verre perdu  6x0.355l;8.18;3.84 /L
Bière allemande vp  6x4x0.33l;14.88;1.88 /L
Bière blanche sans alcool  Verre perdu  6x0.33l;4.65;2.35 /L
Bière luxembourgeoise   bouteille alu  4x0.33l;3.8;2.88 /L
Bière luxembvourgeoise vp  6x0.33l;5.69;2.87 /L
BIO Jus d'orange  Tetra  1l;2.49;2.49 /L
BIO jus multi gold   Brick  3x0.20 l;2.0;3.33 /L
BIO jus multi gold  Tetra  1 l;1.75;1.75 /L
BIO jus multi rosso   Tetra  1l;1.75;1.75 /L
BIO jus multi rosso  Brick  3x0.20l;2.0;3.33 /L
Boisson énergétique  boîte  0.25l;0.53;2.12 /L
Boisson énergétique  boîte  4x0.25 l;5.04;5.04 /L
Boisson énergétique sans sucre  boîte   4x0.25 l;5.44;5.44 /L
Boisson sportive lemon   Pet  4x0.50l;5.0;2.50 /L
Boisson sportive orange   Pet  4x0.50l;5.0;2.50 /L
Bourgogne Pinot Noir Champy 2010  Vin de Bourgogne rouge  0.75l;8.25;11.00 /L
Brandy Napoleon Laine 36%  0.70l;6.59;9.41 /L
Buff Maagbitter 40%  1l;13.8;13.80 /L
Cabernet - Sauvignon 2011  Vin rouge du Chili  0.75l;3.5;4.67 /L
Cabernet-Sauvignon 2011  Vin rosé Chili  0.75l;3.5;4.67 /L
Cachaca 51 40%  0.70l;10.7;15.29 /L
CACTUS "DOT"   vin luxembourgeois rosé  0.75l;4.95;6.60 /L
CACTUS "DOT"  vin blanc luxembourgeois  0.75l;4.95;6.60 /L
Campari 25%  1l;13.95;13.95 /L
Chablis l'Ansérige 2008  Vin de Bourgogne blanc  0.75l;8.95;11.93 /L
Champagne   Laurent Perrier  demi-sec   0.75 l;29.5;39.33 /L
Champagne   Moët & Chandon  brut  0.75 l;29.9;39.87 /L
Champagne   Moët & Chandon  nectar impérial  0.75 l;36.95;49.27 /L
Champagne   Mumm brut  Cordon rouge  0.75 l;26.75;35.67 /L
Champagne   Piper Heidsieck  demi-sec  0.75 l;24.95;33.27 /L
Champagne   Piper Heidsieck brut   0.75 l;22.95;30.60 /L
Champagne   Veuve Clicquot brut  0.75 l;32.95;43.93 /L
Champagne  Diane de Frion   mousseux brut   0.75l;13.5;18.00 /L
Champagne  Laurent Perrier brut  0.75 l;29.5;39.33 /L
Champagne  Philippe Reiner  brut  0.75 l;14.95;19.93 /L
Champagne Piper-Heidsieck Sauvage brut rosé  0.75l;30.5;40.67 /L
Château Anthonic 2006  Vin de Bordeaux rouge  0.75l;11.95;15.93 /L
Château Barthès Bandol  Vin des Côtes de Provence Rosé  0.75l;7.89;10.52 /L
Château Castera 2005  Vin de Bordeaux rouge  0.75l;10.95;14.60 /L
Château Champ de Soeurs Fitou 2008  Vin de Languedoc Roussillon rouge  0.75l;5.95;7.93 /L
Château Charmant 2006  Vin de Bordeaux rouge  0.75l;19.5;26.00 /L
Château Charron"Les Gruppes" 2009  Vin de Bordeaux rouge  0.75l;7.95;10.60 /L
Château de France Pessac-Leogn  2009;18.95;25.27 /L
Chateau de la Clapière   Back-in-Box rosé  5L;21.5;4.30 /L
Château de la Clapière 2010  Vin des Côtes de Provence rosé  0.75l;5.35;7.13 /L
Château de l'Engarran "Tradition" 2009  Vin de Languedoc Roussillon rouge  0.75l;9.5;12.67 /L
Château Grand Bertin de Saint Clair 2009  Vin de Bordeaux rouge  0.75l;7.95;10.60 /L
Château la Bridane 2008  Vin de Bordeaux rouge  0.75l;12.98;17.31 /L
Château La Rode 2005  Vin rouge  0.75l;5.25;7.00 /L
Château Lafont Menaut 2007  Vi de Bordeaux rouge  0.75l;9.98;13.31 /L
Château le Grand Verdus 2008  Vin de Bordeaux rouges  0.75l;5.9;7.87 /L
Château L'Hospitalet "grand vin"  2009;16.75;22.33 /L
Château l'Hospitalet"la Réserve"2010  Vin de Languedoc Roussillon rouge  0.75l;9.95;13.27 /L
Château Parenchère Superiore 2006  Vin de Bordeaux rouge  0.75l;7.5;10.00 /L
Château Puy-Blanquet 2006  Vin de Bordeaux rouge  0.75l;11.5;15.33 /L
Château Roudier 2006  Vin rouge Bordeaux  0.75l;9.95;13.27 /L
Château Siaurac 2009  Vin de Bordeaux rouge  0.75l;14.5;19.33 /L
Château Thieuley   Vin de Bordeaux rouge  5l;22.5;4.50 /L
Château Thieuley 2009  Vin de bordeaux blanc  0.75l;6.95;9.27 /L
Château Thieuley 2009  Vin de Bordeaux rouge  0.75l;7.5;10.00 /L
Château Thieuley 2009  Vin du Val de Loire blanc  0.75l;9.15;12.20 /L
Châteauneuf du Pape Caboche 2009  Vin du Châteauneuf - du -Pape rouge  0.75l;13.95;18.60 /L
Chivas Régal 12ans 40%  0.70l;19.95;28.50 /L
Citron   0.75l;2.95;3.93 /L
Cognac Bisquit classique 40%  0.70l;14.95;21.36 /L
Cognac Remy-Martin vsop 40%  0.70l;26.5;37.86 /L
Cointreau 40%  0.70l;13.5;19.29 /L
Cola   Pet  6x1.50l;9.1;1.01 /L
Cola  Boîte  15x0.33l;7.3;1.47 /L
Cola  Pet  6x0.50l;5.25;1.75 /L
Cola light  boîte  15x033l;7.3;1.47 /L
Cola light  Pet  1.50l;1.61;1.07 /L
Cola light  Pet  6x0.50l;5.25;1.75 /L
Cola light  Pet  6x1.50l;9.1;1.01 /L
Cola zero  Boîte  12x0.33l;5.85;1.48 /L
Cola zero  Pet  1.50l;1.61;1.07 /L
Cola zero  Pet  6x0.50l;5.25;1.75 /L
Cola zero  Pet  6x1.50l;9.1;1.01 /L
Corvo rouge 2009  vin italien  0.75l;8.75;11.67 /L
Côtes d'Ardèche Belle-Etoile 2011  Syrah rosé  0.75l;2.98;3.97 /L
Côtes du Rhône  Guigal Blanc 2010;7.25;9.67 /L
Côtes du Rhône Dauphins   Bag-in-Box rosé  3l;12.95;4.32 /L
Côtes du Rhône Prestige Dauphins   rosé   0.75l;3.9;5.20 /L
Côtes Rhône Villages St.Andeol 2009  Vin de la Vallée du Rhône rouge  0.75l;4.35;5.80 /L
Coyeux de Muscat Beaumes de Venise 2007  Vin de la Vallee du Rhône blanc  0.75l;119.7;13.30 /L
Crème cassis Dijon 18%  0.70l;7.95;11.36 /L
Crianza rouge 2007  Vin espagnol  0.75l;8.9;11.87 /L
Crodino 8-pack   0.10l;5.45;6.81 /L
Crodo bitter 6-pack   0.10l;3.9;6.50 /L
Cuvée Belle-Etoile 2010  Vin de l'Ardèche rouge  0.75l;2.98;3.97 /L
Cynar 16.5%  1l;11.25;11.25 /L
Domaine Boyar "Black Rose" 2010  Vin rosé de Bulgarie  0.75l;2.75;3.67 /L
Eau de source  PET  6x0.50l;0.95;0.32 /L
Eau de source  Pet  6x1.50l;1.12;0.12 /L
Eau de source  PET  6x1.50l;2.25;0.25 /L
Eau gazeuse  Pet  6x0.50l;3.35;1.12 /L
Eau gazeuse  Pet  6x1,50l;1.35;0.15 /L
Eau gazeuse  Pet  6x1l;4.39;0.73 /L
Eau minérale   Pet  6x0.50l;2.39;0.80 /L
Eau minérale   Pet  6x1.50;4.05;0.45 /L
Eau minérale  Pet  6x0.50l;2.25;0.75 /L
Eau minérale  pet  6x1.50l;1.99;0.22 /L
Eau minérale  Pet  6x1.50l;3.65;0.41 /L
Elbling St Markus 2010  Marque Nationale  12x1l;38.4;3.20 /L
Elbling St Markus 2010  Marque Nationale  1l;3.2;3.20 /L
Family Vineyards   Chardonnay 2009  Vin USA  0.75l;5.4;7.20 /L
Faustino V Reserva 2004   Vin rouge espagnol  0.75l;12.7;16.93 /L
Fiori Bardolino Chiaretto 2010  Vin italien  0.75l;5.98;7.97 /L
Framboise Schmitt 43%   0.70l;11.4;16.29 /L
Freixenet  Carta Nevada  mousseux demi-sec  0.75l;5.25;7.00 /L
Freixenet  Cordon Negro  mousseux brut  0.75l;4.99;6.65 /L
Freixenet  rosé brut  mousseux  0.75l;5.4;7.20 /L
Fruits exotiques  0.75l;3.3;4.40 /L
Gales   crémant luxembourgeois  jubilé Riesling  0.75l;8.7;11.60 /L
Gales  Crémant héritage  brut  0.75 l;9.15;12.20 /L
Gales  mousseux demi-sec  0.75 l;6.95;9.27 /L
Gales  private cuvée  mousseux brut  0.75 l;8.15;10.87 /L
Gales Mousseux brut  0.75 l;6.95;9.27 /L
Gallo Family Turning Leaf  Cabernet - Sauvignon 2008  Vin rouge USA  0.75l;7.15;9.53 /L
Gallo Family Vineyards 2010  Cabernet-Sauvgnon  Vin rouge USA  0.75l;5.4;7.20 /L
Gallo Family Vineyards 2010  Grenache rosé   Vin USA rosé  0.75l;5.4;7.20 /L
Gallo Family Vineyards 2010  Merlot  Vin rouge USA  0.75l;5.4;7.20 /L
Gallo Family Vineyards 2010  Zinfandel  Vin rouge USA  0.75l;5.4;7.20 /L
Gato Chardonnay 2010  Vin du Chili blanc  0.75l;3.5;4.67 /L
Gato Negro Camenère 2010  Vin rouge du Chili  0.75l;3.5;4.67 /L
Gato Negro Shiraz 2011  Vin rouge du Chili  0.75l;3.5;4.67 /L
Gigondas Domaine Grapillon d'Or 2009  Vin de la Vallée du Rhône rouge  0.75l;11.95;15.93 /L
Glenfiddich pur malt 40%  0.70l;18.95;27.07 /L
Golden Kaan 2010  Chardonnay d'Afrique  0.75l;6.95;9.27 /L
Golden Kaan 2010  Pinotage  Vin d'Afrique du Sud rouge  0.75l;6.95;9.27 /L
Gordon's Gin 37.5%  0.70l;9.5;13.57 /L
Grand Marnier rouge 40%  0.70l;16.95;24.21 /L
Grand Patriarche   Vin de table rosé  0.75l;2.5;3.33 /L
Grand Patriarche   Vin de table rouge  0.75l;2.5;3.33 /L
Grappa Julia invecchiata 0.40%  0.70l;10.65;15.21 /L
Grenadine  0.75l;2.95;3.93 /L
Guigal Côtes du Rhône 2007  Vin de la Vallée du Rhône rouge  0.75l;6.65;8.87 /L
Ice tea green  Pet  1.50l;2.0;1.33 /L
Ice tea green  Pet  4x1.50l;7.04;1.17 /L
Ice tea green tea  Pet  6x1.50l;12.0;1.33 /L
Ice tea pêche  Boîte  6x0.33l;4.05;2.05 /L
Ice tea pêche  Pet  1.50l;1.69;1.13 /L
Ice tea pêche  Pet  4x0.50l;4.05;2.03 /L
Ice tea pêche  Pet  6x1.50l;10.14;1.13 /L
Ice tea regular  Pet  1.50l;1.78;1.19 /L
Ice tea regular  Pet  4x1.50l;6.16;1.03 /L
Ice tea regular  Pet  6x1,50l;10.68;1.19 /L
Jack Daniel's Tennessee Whisky 40%  0.70l;17.95;25.64 /L
Jägermeister 35%   0.70l;9.25;13.21 /L
Johnnie Walker black label 40%  0.70l;23.5;33.57 /L
Juicy water citron / citron vert 420 ml;1.95;4.64 /L
Jus abricot  Tetra  1l;1.65;1.65 /L
Jus active balance  Tetra  2l;2.45;1.23 /L
Jus ananas   Tetra  1l;1.8;1.80 /L
Jus C+D+A ananas/carotte  Tetra  2l;2.45;1.23 /L
Jus cranberry   Tetra   1l;1.8;1.80 /L
Jus cranberry  Tetra  1l;2.28;2.28 /L
Jus de citron  200 ml;0.73;3.65 /L
Jus de fraise   Tetra  1l;1.8;1.80 /L
Jus de pomme   2l;2.75;1.38 /L
Jus de pomme   Tetra  4x1l;7.28;1.82 /L
Jus de pomme  Tetra  4x0.20l;2.35;2.94 /L
Jus de pomme direct  Tetra  1l;1.8;1.80 /L
Jus d'orange   2l;3.1;1.55 /L
Jus d'orange   Tetra  4x1l;6.36;1.59 /L
Jus d'orange  Pet  4x0.33l;4.15;3.14 /L
jus d'orange  Tetra  1l;2.2;2.20 /L
Jus d'orange 1l;1.59;1.59 /L
Jus d'orange frais  1L;1.97;1.97 /L
Jus d'orange sanguine  2l;2.45;1.23 /L
Jus d'orange transfair  1l;1.85;1.85 /L
Jus exotic   Tetra  1l;1.65;1.65 /L
Jus Lemon/Lychee Pet  12x0.50l;10.98;1.83 /L
Jus mango-maracuja  Pet  6x0.5l;5.49;1.83 /L
Jus mangue transfair  Tetra  1l;1.85;1.85 /L
Jus Mangue/Maracuja Pet  12x0.50l;10.98;1.83 /L
Jus mulitivitamine transfair  Tetra  1l;1.85;1.85 /L
Jus multifruits ACE  2l;2.45;1.23 /L
Jus multivitamin  2l;2.65;1.33 /L
Jus multivitamine   Tetra  4x1l;7.0;1.75 /L
Jus multivitamine  Pet  1.50l;1.79;1.19 /L
Jus multivitamine  Pet  4x0.33l;3.95;2.99 /L
Jus multivitamine  Tetra  1l;1.8;1.80 /L
Jus Multivitamine Pet  12x0.50l;10.98;1.83 /L
Jus pamplemousse  Tetra  1l;1.65;1.65 /L
Jus pêche/mangue  Tetra  1l;1.55;1.55 /L
Jus tropical  Tetra  4x0.20l;2.15;2.69 /L
Jus tropical  Tetra  4x1l;7.36;1.84 /L
Kadette 2010  Vin rouge d'Afrique du Sud  0.75l;7.15;9.53 /L
Kidibul   jus de pomme pétillant  0.75l;2.5;3.33 /L
Kidibul  jus pomme/fraise pétillant  0.75l;2.5;3.33 /L
Kidibul pomme/cerise  jus pétillant  0.75 l;2.5;3.33 /L
Kirsch Schmitt 43% 0.70l;13.6;19.43 /L
Koonunga Hill 2009  Shiraz-Cabernet d'Australie  0.75l;11.5;15.33 /L
L'Amphore de Provence  rosé   0.75l;3.95;5.27 /L
Les Trois Colonnes 2008  Vin de Bordeaux rouge  0.75l;3.95;5.27 /L
Limonade bleu  Pet  6x1l;1.34;1.34 /L
Limonade citron  Boîte  6x0.33l;3.1;1.57 /L
Limonade citron  Pet  1.50 l;1.61;1.07 /L
Limonade citron  Pet  4x1.50l;6.1;1.02 /L
Limonade citron  Pet  6x0.50l;5.35;1.78 /L
Limonade orange  Boîte  6x0.33l;3.1;1.57 /L
Limonade orange  Pet  1.50 l;1.61;1.07 /L
Limonade orange  Pet  1.50l;1.99;1.33 /L
Limonade orange  Pet  4x1.50l;6.1;1.02 /L
Limonade orange  Pet  6x0.50l;5.35;1.78 /L
Limonade orange  Pet  6x1.50l;11.94;1.33 /L
Limonade plate tropical  Pet  2l;2.15;1.08 /L
Limonade rouge  Pet  1l;1.34;1.34 /L
Limonade vert  Pet  1l;1.34;1.34 /L
Limoncello Beltion 30%  0.70l;8.45;12.07 /L
Lirac Domaine des Tours des Chênes 2010  Vin de la Vallée du Rhône rosé  0.75l;4.85;6.47 /L
Listel Gris Grain de Gris   Bag-in-Box  Vin de table rosé  3l;12.25;4.08 /L
Listel Gris Grain de Gris   Vin de table rosé  0.75l;3.2;4.27 /L
Louis Tête Fleurie 2009  Vin du Beaujolais rouge  0.75l;6.95;9.27 /L
Louis Tête Julienas 2010  Vin de Beaujolais rouge  0.75l;6.35;8.47 /L
Louis Tête Moulin à Vent 2009  Vin de Beaujolais rouge  0.75l;6.98;9.31 /L
Louis Tête Saint - Amour 2009  Vin du Beaujolais rouge  0.75l;7.25;9.67 /L
Marques de Riscal 2010  Vin blanc d'Espagne  0.75l;6.3;8.40 /L
Martini blanc 15%  0.75l;5.19;6.92 /L
Martini blanc 15%  1.50l;9.45;6.30 /L
Martini fiero 14.9%  0.75l;5.95;7.93 /L
Martini fiero 14.9%  1.5l;9.79;6.53 /L
Martini rosato 15%  1.50l;10.25;6.83 /L
Martini rosé 15%  0.75l;5.35;7.13 /L
Martini rouge 15%  0.75l;5.19;6.92 /L
Martini rouge 15%  1.50l;9.45;6.30 /L
Menthe  0.75l;2.95;3.93 /L
Mirabelle Schmitt 43%  0.70l;14.65;20.93 /L
Montepulciano d'abruzzo 2010;5.15;6.87 /L
Mouton Cadet 2009  Vin de Bordeaux rouge  0.75l;9.79;13.05 /L
Muscadet 2010;3.5;4.67 /L
Muscadet de Sevre et Maine 2009  Vin du Val de Loire blanc  0.75l;3.5;4.67 /L
Passoa liqueur 17%  0.70l;9.15;13.07 /L
Pastis Ricard 45%  1.50l;18.8;12.53 /L
Patriarche "Héritage"   Vin de table rouge  0.75l;2.5;3.33 /L
Penfold's Koonunga Hill 2007  Chardonnay d'Australie  0.75l;8.95;11.93 /L
Penfold's Rawson 2008  Shiraz-Cabernet d'Australie  0.75l;8.95;11.93 /L
Père Magloire Calvados fine 40%  0.70l;12.9;18.43 /L
Picon à l'orange 18%  1l;9.9;9.90 /L
Picon à l'orange 21%  0,70l;9.95;14.21 /L
Pinot blanc Remerschen  Grand cru 2009  0.75l;5.95;7.93 /L
Pinot Gris Coteaux Schengen  Grand 1 Cru 2009  0.75l;6.95;9.27 /L
Pinot Noir 2010  Marque Nationale;8.25;11.00 /L
Pinot Noir rosé Remich  MN 2010  0.75l;6.95;9.27 /L
Pinot St.Markus   MN 2009  12x1l;40.8;3.40 /L
Pinot St.Markus   MN 2009  1l;3.4;3.40 /L
Pisang Ambon 20%  0.70l;8.95;12.79 /L
Poire Williams Schmitt 43%  0.70l;12.45;17.79 /L
Porto Cruz pink 19%   0.75l;7.5;10.00 /L
Porto Cruz Tawny 19%  0.75l;6.85;9.13 /L
Porto Sandeman ruby 19.5%  0.75l;6.85;9.13 /L
Porto Sandeman white 19.5%  0.75l;6.85;9.13 /L
Quetsch Schmitt 43%  0.70l;10.98;15.69 /L
Regular  limonade Pet  1.50l;1.61;1.07 /L
Reine eau minérale  6X1.50 l;4.3;0.48 /L
Remy - Pannier d'Anjou 2010  Vin du Val de Loire rosé  0.75l;3.5;4.67 /L
Reserva Coto de Imaz 2005  Vin espagnol rouge  0.75l;11.15;14.87 /L
Reserva Senorio de Los Lanos 2007  Vin rouge d'Espagne  0.75l;4.95;6.60 /L
Rhum Negrita brun 37.50%  1l;12.98;12.98 /L
Riesling St. Markus MN 2009  Vin luxembourgeois  12x1l;42.75;3.56 /L
Riesling St.Markus MN 2009  Vin luxembourgeois  1l;3.75;3.75 /L
Riesling Wormeldange  Grand 1 Cru 2009  0.75l;6.95;9.27 /L
Rivaner St Markus 2010  Marque Nationale  12x1l;36.48;3.04 /L
Rivaner St Markus 2010  Marque Nationale  1l;3.2;3.20 /L
Rivaner St.Markus MN 2009  Vin luxembourgeois  1l;3.2;3.20 /L
Safari drink exotique 20%  0.70l;8.95;12.79 /L
Saint - Emilion Alain Bonneau 2006  Vin de Bordeaux rouge  0.75l;9.85;13.13 /L
Sambuca Ramazotti 38%  0.70l;9.95;14.21 /L
San Pedro Casa Molina 2008  Cabernet-Sauvignon   0.75l;7.5;10.00 /L
San Pedro Castillo/Molina 2010  Chardonnay du Chili  0.75l;7.5;10.00 /L
Sancerre les Fontenelles 2010  Vin du Val de Loire blanc  0.75l;10.95;14.60 /L
Sangria Don Simon  1.50 l;2.15;1.43 /L
