item;price;unit price
Sauce froide Ail  125ml;1.6;12.80 /L
Sauce froide Béarnaise  125ml;1.6;12.80 /L
Sauce froide Bourguignonne  125ml;1.6;12.80 /L
Sauce froide Chili  115g;1.6;12.80 /L
Sauce froide Cocktail  125ml;1.6;13.91 /KG
Sauce froide Curry  125ml;1.6;12.80 /L
Sauce froide Meerrettich  125ml;1.6;12.80 /L
Sauce froide Tartare  125ml;1.6;12.80 /L
Saucisses Frankfurt boîte de 8pièces  200g;0.68;3.40 /KG
Sucre Impalpable   250g;0.55;2.20 /KG
Sucre Semoule S2 Fin  1 kg;1.2;1.20 /KG
Sucre Vanillé  10 sachets;0.78;9.75 /KG
Thon entier à huile vegetal en conserve  120g;0.95;7.92 /KG
Tremocos-Lupins  550g;1.09;1.98 /KG
Vin blanc portugais  Bag-in-Box    5l;5.8;1.16 /L
Vin rosé portugais   0.75l;2.98;3.97 /L
Vin rosé portugais  Bag-in-Box    5l;5.8;1.16 /L
Vin rouge portugais  Bag-in-Box    5l;5.8;1.16 /L
Vin rouge portugais  Région Alentejo 2010  0.75l;3.75;5.00 /L
Vin rouge portugais  Région Dão 2009  0.75l;2.45;3.27 /L
Vin rouge portugais  Région Palmela  0.75l;2.25;3.00 /L
Vinho Verde  Vin portugais  0.75l;2.6;3.47 /L
Vinho Verde 2011  Vin portugais  0.75l;2.4;3.20 /L
Vinsmoselle  Poll-Fabaire   brut   0.75 l;7.49;9.99 /L
Vinsmoselle  Poll-Fabaire   demi-sec  0.75 l;7.49;9.99 /L
2 coquilles St. Jacques;8.8;26.67 /KG
2 quiches au saumon   280g;5.2;18.57 /KG
2 tranches terrine océan   230g;4.5;19.57 /KG
2 tranches terrine saumon/crabe   230g;3.95;17.17 /KG
4 tranches saumon/légumes   200g;6.9;34.50 /KG
Abricots moelleux sachet 250 g;3.38;3.38 /PC
Actimel 0% 8x100ml;3.76;4.70 /L
Actimel 0% multifruit 8x100ml;4.12;5.15 /L
Actimel fraise 8x100ml;3.76;4.70 /L
Actimel multifruits 8x100ml;4.12;5.15 /L
Actimel nature  8x100ml;3.49;4.36 /L
Activia drink fraise-kiwi 3x200g;2.72;4.53 /KG
Activia yaourts 0% fraise 4x125g;2.42;4.84 /KG
Activia yaourts ananas 0%  4x125g;2.42;4.84 /KG
Activia yaourts coco   4x125g;1.75;3.50 /KG
Activia yaourts fraise   4x125g;2.36;4.72 /KG
Activia yaourts natures entiers   4x125g;1.59;3.18 /KG
Activia yaourts natures maigres   4x125g;1.91;3.82 /KG
Activia yaourts natures/müsli   4x120g;2.05;4.27 /KG
Activia yaourts vanille 4x125g;1.75;3.50 /KG
Ail 3 têtes calibre 70/90;3.85;3.85 /PC
Aile de poulet  6 pièces  +/- 375g;1.78;4.75 /KG
Alb Gold Knoepfle 400g;2.99;7.48 /KG
Alb Gold Spaetzle 400g;2.99;7.48 /KG
Alvalle Gazpacho 1l   Espagne;3.89;3.89 /L
Ananas Sweet calibre 5/6;3.98;3.98 /PC
Aoste snack pur porc   80g;2.45;30.63 /KG
Apéricubes nature 50% (22.5%) 125g;2.39;19.12 /KG
Apéricubes original 50% (22.5%) 125g;2.39;19.12 /KG
Apérifrais à la provençale 70% (31%)   100g;2.09;20.90 /KG
Aubergines 2 pièces;2.08;2.08 /PC
Avocat Hass  calibre 14;1.28;1.28 /PC
Babybel 50%  200g;2.09;10.45 /KG
Babybel tranches 7p 27% 170g;2.69;15.82 /KG
Banane Chiquita to go pièce;0.75;3.00 /KG
Batavia verte  1 pièce;1.48;1.48 /PC
Bâtonnets de surimi   200g;1.96;9.80 /KG
Bauernpâté   Terrine de +/-330g;3.51;10.65 /KG
Bauernschinken 4 tranches  +/- 180g;3.27;18.15 /KG
Bauernschinken 6 tranches  +/- 270g;4.9;18.15 /KG
Baurebrout coupé  500g;1.77;3.54 /KG
Beefsteak supérieur   1 pièce  +/- 300g;4.32;14.40 /KG
Benecol drink nature 6x70g;4.59;10.93 /KG
Betteraves sous-vide sachet 500 g;1.49;2.98 /KG
Beurre   500g;3.07;6.14 /KG
Beurre  Ravier 250g;2.0;8.00 /KG
Beurre léger 1/2sel 41% 250g;1.95;7.80 /KG
Beurre léger doux 250g;1.95;7.80 /KG
Beurre Rose  250g;1.82;7.28 /KG
Beurre rose 500g;3.32;6.64 /KG
Beurre tartine 1/2 sel 250g;1.89;7.56 /KG
Beurre tartine 250g;1.89;7.56 /KG
Bifana de boeuf mariné  +/- 220g;4.33;19.70 /KG
Bifana de porc mariné  +/- 220g;3.0;13.65 /KG
Bighurt natur 0,1% 500g;0.98;1.96 /KG
BIO Bärlauch in Scheiben 20% 150g;2.86;19.07 /KG
BIO Bergsalami   100g;1.9;19.00 /KG
BIO Bierschinken   100g;1.6;16.00 /KG
BIO crevettes cuite deco 110g;4.95;45.00 /KG
BIO crevettes cuites 40/60 400g;6.75;16.88 /KG
BIO Fairtrade Banane   3 pièces  +/- 500g;1.29;2.58 /KG
BIO Feuille de chêne  100g;1.98;19.80 /KG
BIO filet truite fumé 125 g;5.9;47.20 /KG
BIO Fruchtjoghourt   150g;0.59;3.93 /KG
BIO Fruchtquark Abrikose 10%  200g;1.09;5.45 /KG
BIO Fruchtquark Erdbeere 10% 200g;1.09;5.45 /KG
BIO Gouda in Scheiben 29% 150g;2.53;16.87 /KG
BIO Joghurt Erdbeere 3.8%   500g;2.29;4.58 /KG
BIO Joghurt Erdbeere 3.8%   6x500g;13.74;4.58 /KG
BIO Joghurt Mango-Vanille   500g;2.29;4.58 /KG
BIO Joghurt Mango-Vanille   6x500g;13.74;4.58 /KG
BIO Joghurt Pfirsich-Maracuja   500g;2.29;4.58 /KG
BIO Joghurt Pfirsich-Maracuja   6x500g;13.74;4.58 /KG
BIO Joghurt Vanille 3.8%  500g;2.29;4.58 /KG
BIO Joghurt Vanille 3.8%  6x500g;13.74;4.58 /KG
BIO lait frais 1,5% 1l;1.46;1.46 /L
BIO Lait frais 3,5% 1l;1.48;1.48 /L
BIO Lyoner   80g;1.15;14.38 /KG
BIO potage 5 légumes 300ml;2.49;8.30 /L
BIO potiron marrons 1l x 6;3.99;3.99 /L
BIO Putengeschnelzeltes   350g;4.2;12.00 /KG
Bio Raeuchertofu Taifun   200g;2.19;10.95 /KG
BIO Rama margarine 250g;1.39;5.56 /KG
BIO Rindergeschnelzeltes   350g;4.2;12.00 /KG
